יצרן,דגם,מחיר,אזור,עיר,שנה,יד,ת. הילוכים,נפח,סוג מנוע,"ק""מ",צבע,בעלות קודמת,בעלות נוכחית,תאריך יצירה,תאריך הקפצה,תיאור,מספר תמונות,טסט עד
פיאט,פונטו,"7,500 ₪",N/A,כפר כנא,2009,3,אוטומטית,"1,400",בנזין,,,,,2022-07-15,2022-07-15,רכב מטופל ושמור ויש לו טסט עד סוף השנה וחיסכוני בדלק,1,
פיאט,פונטו ספייס,"18,500 ₪",באר שבע והסביבה,שדרות,2013,3,רובוטית,"1,400",בנזין,"135,000",,,,2022-07-13,2022-07-13,רכב מעולה.יש סאן רוף.מיתחייב בבדיקה,1,
פיאט,500,"24,000 ₪",רמת גן - גבעתיים,רמת גן,2015,2,ידנית,"1,200",בנזין,"71,000",אדום,פרטית,פרטית,2022-07-09,2022-07-09,"מנוע 1.2 האמין והחסכוני גיר ידני! לא רובוטי(אוטומט) רכב אמין וחסכוני, מצויין לתוואי עירוני, נכנס לכל חניה קל וזול לאחזקה מצב מכני מושלם ניתן לראות את הרכב באזור המרכז וביבנה",7,
פיאט,פונטו גרנדה,"12,000 ₪",ירושלים והסביבה,ירושלים,2010,4,ידנית,"1,400",בנזין,"157,000",,,,2022-06-17,2022-06-17,רכב במציאה חסכוני מאוד ואמין מטופל בזמן נמצא במודיעין או ירושלים גמיש לרציניים,1,
פיאט,500C,"54,000 ₪",אשדוד - אשקלון,גן יבנה,2017,3,אוטומטית,"1,200",בנזין,"69,158",לבן,פרטית,פרטית,2022-06-12,2022-06-12,"* למכירה * 👑 פיאט 500c הדגם המחודש הרכב במצב מדהים והכי שמור שיש! 69,000 קמ בלבד 🙊 אוקטובר 2017 שמור, מטופל, ומושלם. גג נפתח לגמרי, במיוחד עכשיו לקיץ 💦 גלגלים חדשים ‼️ מחיר ותמונות נוספות בפרטי 0585200442- ליאור",8,
פיאט,500C,"49,000 ₪",אשדוד - אשקלון,גן יבנה,2017,3,אוטומטית,"1,400",בנזין,"69,000",לבן,פרטית,פרטית,2022-06-10,2022-06-10,"* למכירה * 👑 פיאט 500c הדגם המחודש הרכב במצב מדהים והכי שמור שיש! חלונות חשמל ✅ מזגן חזק ומקפיא ✅ חסכוני ואמין✅ 69,000 קמ בלבד 🙊 אוקטובר 2017 שמור, מטופל, ומושלם. גג נפתח לגמרי, במיוחד עכשיו לקיץ 💦 גלגלים חדשים ‼️ יש לאן לזוז בנוגע למחיר, כל הקודם זוכה🚘 מחיר ותמונות נוספות בפרטי 0585200442- ליאור",7,
פיאט,500X,"65,000 ₪",מושבים בשרון,אודים,2017,2,אוטומטית,"1,400",בנזין,"36,000",,,,2022-04-22,2022-04-22,"לא מעשנים בג’יפ , דגם POPSTAR משולב צבעים , שמור היטב , נסע מעט , מטופל בקפידה.",1,
פיאט,500,"52,000 ₪",אשדוד - אשקלון,אשדוד,2017,2,רובוטית,"1,200",בנזין,"26,700",ירוק בהיר,פרטית,פרטית,2022-04-06,2022-04-06,פיאט 500 מודל 2017 בובה שמורה ומטופלת יד שנייה פרטית נהגת יחידה נסע 27000 בלבד חלון בגג דגם מפואר צבע ירוק בהיר עלייה לכביש חודש אוגוסט לפרטים נוספים 052-7201791 חיים לא בשבת,8,
פיאט,500,"15,000 ₪",בקעת אונו,אור יהודה,2012,3,רובוטית,800,בנזין,"168,431",לבן,פרטית,פרטית,2021-11-22,2021-11-22,N/A,1,
פיאט,בראבו,"14,900 ₪",פתח תקוה והסביבה,פתח תקווה,2011,3,רובוטית,"1,400",בנזין,"140,000",אפור מטאלי,פרטית,פרטית,2021-10-30,2021-10-30,מציאה!! נהגת יחידה!! קילומטר נמוך!! שמור מאד ומטופל במוסך מורשה בלבד!! טסט לשנה!! עבר טיפול כולל - סט קלאצים + מדחס מזגן + גלגל תנופה חדשים!! + הכנה לטסט,3,
פיאט,500,"19,700 ₪",נתניה והסביבה,נתניה,2012,1,רובוטית,"1,200",בנזין,"132,000",לבן,פרטית,פרטית,2023-08-31,2023-09-02,"פיאט 500💥 שנת 2012📌 132 אלף קמ בלבד‼️ טסט עד 3/2024✅ יד 01 פרטי ❗️ 69 כוח סוס🐎 גנט מגנזיום📌 דגם POP ‏✅ 4 צמיגים חדשים❗️ גיר רובוטי חסכוני בדלק💯 3 דלתות 5 מקומות ישיבה 💎 כיסאות מיוחדים‼️ מזגן מקפיא ❄️ מנוע 1️⃣2️⃣5️⃣0️⃣ 🧶רכב במצב מעולה שמור מאוד ללא בעיות או תקלות לאחר טיפול, מצב מכני מעולה וחיצוני במצב נדיר, כל הקודם זוכה ‼️",7,
פיאט,קובו / QUBO,"20,000 ₪","ראשל""צ והסביבה",ראשון לציון,2015,2,ידנית,"1,300",דיזל,"120,000",,,,2022-10-29,2022-10-29,רכב יפה ניראה כמו חדש חסכוני טוב לבעלי מיקצוע קטנים גמיש לרצינים,4,
פיאט,500X,"57,000 ₪",ירושלים והסביבה,מוצא עילית,2015,2,אוטומטית,"1,400",בנזין,"93,000",,,,2022-09-17,2022-09-17,"רכב במצב מעולה משמש כרכב שני במשפחה רמת גימור פופ סטאר טסט ל10 חודשים,מצלמת רוורס וחיישנים מובנים.",0,
פיאט,פנדה,"9,980 ₪",ראש העין והסביבה,אלעד,2009,3,אוטומטית,"1,200",בנזין,198,,,,2022-08-25,2022-08-25,הרכב שמור פיקס חסכוני מאוד בדלק יש על הרכב מצבר בן פחות מחצי שנה צמיגים חדשים יש על הרכב מערכת שמע בעלות של 1800 ש״ח הרכב שמור נהג יחיד מוכר כי אני סטודנט ואין לי שימוש ברכב &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; יש על,6,
פיאט,500L,"25,000 ₪",רמת השרון - הרצליה,הרצליה,2013,2,טיפטרוניק,"1,200",בנזין,"90,000",,,,2022-08-03,2022-08-03,"רכב שמור טיפולים בזמן במוסך מורשה, טסט לשנה, הוחלפו 4 צמיגים חדשים לפני שנה וחצי",5,
